"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Actual change since previous census","2011","Male","0 - 14 years","South Africa","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Sudan (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Tanzania, the United Republic of","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Togo","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Tunisia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Uganda","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Zambia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Zimbabwe","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Other Africa(2)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Afghanistan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Bahrain","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Bangladesh","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Myanmar","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","China","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","United Arab Emirates (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Georgia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Hong Kong","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","India","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Indonesia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Iran (Islamic Republic of)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Iraq","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Israel","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Japan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Jordan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Kazakhstan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Kuwait","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Lao People's Democratic Republic (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Lebanon","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Malaysia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Mongolia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Nepal","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Oman","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Pakistan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Philippines (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Saudi Arabia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Singapore","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Korea (the Republic of) South Korea","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Sri Lanka","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Syrian Arab Republic (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Taiwan (Province of China)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Thailand","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Uzbekistan","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Viet Nam","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Other Asia(1)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","United States of America (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Argentina","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Brazil","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Canada","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Chile","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Colombia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Cuba","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Guatemala","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Jamaica","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Mexico","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Peru","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Trinidad and Tobago","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Venezuela (Bolivarian Republic of)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Other America(2)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Australia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","New Zealand","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Other countries","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","All countries","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Ireland - county of usual residence","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Ireland - county other than county of usual residence","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Northern Ireland","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Scotland","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","England and Wales","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Austria","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Belgium","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Bulgaria","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Croatia","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Cyprus","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Czechia","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Denmark","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Estonia","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Finland","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","France","Number","0"
"Actual change since previous census","2011","Male","15 - 24 years","Germany","Number","0"
